team,name,pos,GP,GS,MIN,PTS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF
COR,V. Andrade,C,6,6,35.4,13.5,6.0,13.2,6.0,13.0,0.0,0.2,1.5,3.0,3.2,8.0,11.2,2.3,0.7,1.0,3.8,4.0
DSC,F. Terra,G,22,20,29.2,13.4,4.2,11.3,2.7,6.7,1.5,4.6,3.4,4.7,0.7,4.3,5.0,5.5,1.4,0.1,2.9,2.3
GOE,J. Hartwell,G,4,4,31.8,13.2,5.0,14.5,4.0,8.5,1.0,6.0,2.2,2.5,0.5,3.0,3.5,4.0,0.2,0.0,2.8,2.5
BIG,F. Hassell,C,13,13,25.3,13.1,5.8,10.2,5.8,10.2,0.0,0.0,1.4,2.9,3.5,5.1,8.5,1.2,0.7,0.9,1.2,2.4
CAP,A. Ibarguen,PF,19,19,23.9,13.0,5.4,8.1,5.4,7.9,0.0,0.2,2.2,2.9,2.6,3.5,6.1,0.8,0.6,0.2,1.2,1.7
GOE,A. Pruitt,PF,12,12,33.4,12.9,4.9,12.1,3.2,6.7,1.7,5.4,1.4,2.1,3.1,5.4,8.5,2.2,1.5,0.9,1.3,1.4
UUN,E. Buckner,C,5,5,28.2,12.6,5.6,8.2,5.6,8.2,0.0,0.0,1.4,2.4,2.2,4.6,6.8,1.8,0.8,1.4,2.6,3.6
HYM,A. Nation,G,18,18,27.3,12.3,4.7,10.1,3.3,6.2,1.3,3.8,1.6,2.5,1.0,2.8,3.8,2.7,0.9,0.6,2.7,2.7
HYM,J. Canty,C,21,21,27.3,12.3,5.3,9.5,5.3,9.5,0.0,0.0,1.7,2.8,3.0,5.1,8.1,1.4,1.0,1.5,0.8,2.6
UUN,E. Holt,PF,15,15,25.6,12.2,4.4,10.1,2.6,4.7,1.8,5.3,1.6,1.9,1.3,3.8,5.1,1.2,0.3,0.5,1.5,2.6
CNF,E. Oglivie,C,12,12,21.5,12.2,4.9,8.0,4.8,7.6,0.1,0.4,2.2,3.6,1.9,4.1,6.0,1.3,0.9,0.1,1.3,3.3
DSC,T. Metzger,PF,22,6,24.9,12.0,4.5,9.7,2.5,4.2,2.0,5.5,1.0,1.5,1.5,4.0,5.5,1.1,0.3,0.1,1.0,1.5
MAL,D. Zekovic,C,22,17,25.7,12.0,4.5,9.4,3.3,5.5,1.2,3.9,1.8,2.0,1.3,4.9,6.2,1.7,0.6,0.4,1.1,2.5
MAL,N. Martinez,PF,22,7,25.5,12.0,4.2,8.9,2.9,5.3,1.3,3.6,2.4,3.7,1.4,3.3,4.7,0.5,0.7,1.2,1.2,2.0
HYM,F. Haller,PF,21,0,18.1,11.8,4.4,8.3,3.6,6.4,0.8,2.0,2.2,2.7,1.1,3.8,5.0,1.1,0.4,0.2,1.1,2.1
UUN,T. Daniels,C,19,19,23.5,11.8,4.3,6.6,3.7,5.0,0.6,1.6,2.5,3.7,2.4,4.2,6.6,1.8,0.5,0.3,1.6,1.6
WEL,T. Ferguson,SG,8,6,27.9,11.5,4.5,10.8,4.0,8.6,0.5,2.1,2.0,2.8,1.1,1.8,2.9,2.4,1.0,0.5,1.1,2.8
AGU,S. Vidal,G,20,19,27.0,11.4,3.9,8.3,1.6,3.8,2.2,4.5,1.4,1.8,0.7,3.2,3.9,7.5,2.1,0.0,2.8,1.8
WEL,M. Moore,G,9,9,20.7,11.3,4.1,8.6,3.2,7.0,0.9,1.6,2.2,3.0,0.6,2.9,3.4,1.6,0.7,0.1,1.1,1.9
BIG,W. Reed,C,9,9,25.2,11.3,4.0,6.8,4.0,6.8,0.0,0.0,3.3,5.7,2.1,4.3,6.4,1.4,0.3,1.9,0.7,2.1
WEL,D. Esparza,G,6,6,21.1,10.7,4.0,9.0,2.7,4.2,1.3,4.8,1.3,2.2,0.2,0.8,1.0,0.7,0.5,0.2,0.7,2.3
CAP,G. Whittington,C,7,7,22.7,10.7,3.7,7.4,2.3,3.6,1.4,3.9,1.9,2.1,1.3,4.3,5.6,2.1,1.4,0.9,1.4,2.9
CNF,P. Prieto,G,22,18,22.3,10.6,3.9,8.5,1.9,3.6,2.0,5.0,1.0,1.2,0.6,2.0,2.6,1.9,1.9,0.1,0.7,2.6
WEL,S. Moglia,F,17,12,25.2,10.5,3.9,8.4,2.2,3.2,1.6,5.1,1.1,1.4,0.4,2.9,3.3,1.8,1.2,0.1,1.2,1.1
UUN,S. Massa,F,22,7,22.5,10.3,3.6,8.8,1.5,2.8,2.0,6.0,1.1,1.8,0.7,1.7,2.4,1.3,1.0,0.5,0.8,2.0
CAP,E. Serres,F,16,1,22.6,10.3,3.4,7.6,1.9,3.6,1.6,4.0,1.9,2.7,1.3,3.0,4.3,1.8,0.4,0.3,1.7,2.3
DSC,V. Rudd,,3,3,21.5,10.3,3.7,13.0,1.7,4.7,2.0,8.3,1.0,2.0,0.3,1.3,1.7,2.7,1.7,0.0,1.7,1.7
WEL,C. Mc Evans,G,5,2,20.0,10.2,3.2,9.0,2.0,4.0,1.2,5.0,2.6,2.8,0.0,1.2,1.2,1.8,0.4,0.0,1.4,1.8
CNF,E. Bell,PF,14,10,22.7,10.1,4.4,7.1,4.3,6.6,0.1,0.6,1.4,2.9,2.9,4.2,7.1,1.1,0.6,0.5,1.3,2.4
BIG,S. Ottonello,PF,22,0,20.0,10.0,3.8,7.5,3.3,6.0,0.5,1.5,2.0,2.6,1.5,3.3,4.8,1.5,0.6,0.4,1.2,3.0
AGU,J. Santiso,G,21,17,28.2,9.9,3.2,8.8,1.9,4.2,1.3,4.6,2.0,2.8,0.5,4.0,4.5,6.4,0.8,0.0,2.6,1.8
WEL,F. Garcia,G,22,6,23.2,9.8,3.3,8.1,1.2,2.9,2.0,5.2,1.2,1.5,0.2,1.2,1.4,3.4,1.0,0.1,1.8,2.0
GOE,M. Oyenard,PG,21,12,22.5,9.8,3.9,7.7,3.3,5.6,0.6,2.1,1.3,1.7,1.8,2.6,4.4,2.2,0.7,0.5,1.3,2.5
DSC,N. Colmenares,PF,20,19,25.3,9.7,4.4,7.0,4.4,7.0,0.0,0.0,0.8,2.4,3.0,5.8,8.8,1.8,1.1,0.5,1.4,3.0
DSC,D. Wright,PF,12,8,22.7,9.6,3.5,7.7,2.4,4.8,1.1,2.9,1.5,1.8,0.9,1.1,2.0,1.3,0.7,0.7,0.8,2.0
BIG,G. Iglesias,PF,22,22,23.7,9.4,3.2,7.6,1.5,3.0,1.7,4.6,1.3,1.6,0.5,2.5,3.0,1.4,0.5,0.3,1.2,1.3
UUN,H. Thompson,F,3,2,10.7,9.3,3.3,7.7,2.0,4.7,1.3,3.0,1.3,1.3,0.3,2.3,2.7,1.3,0.7,0.0,0.3,1.3
AGU,A. Zuvich,C,22,4,19.7,9.2,3.2,5.4,2.9,4.4,0.3,1.0,2.5,3.1,1.7,2.9,4.5,1.1,0.6,0.2,1.0,3.0
CAP,E. Romero,C,12,4,20.9,9.2,3.7,6.4,3.4,5.5,0.2,0.9,1.6,2.6,1.9,3.3,5.2,0.6,0.7,1.1,1.4,2.5
CNF,L. Parodi,G,21,20,23.7,9.1,3.1,7.9,1.7,3.8,1.5,4.1,1.3,2.0,0.8,2.1,2.9,4.8,1.6,0.0,2.4,2.6
GOE,E. Bonet,PG,22,14,25.1,9.0,3.4,8.8,2.5,5.1,0.9,3.7,1.2,2.0,0.6,1.6,2.2,3.9,0.9,0.0,1.7,3.1
COR,V. Clemente Baffuto,C,8,8,23.7,9.0,3.9,7.5,3.9,7.5,0.0,0.0,1.2,3.5,3.1,4.2,7.4,1.1,0.1,1.5,2.8,3.8
WEL,R. Jackson,C,3,1,25.8,9.0,4.0,9.7,4.0,9.3,0.0,0.3,1.0,1.3,2.7,5.7,8.3,1.7,0.7,2.7,2.0,2.3
HYM,G. Semiglia,F,16,4,22.0,8.8,2.8,8.2,0.4,1.1,2.4,7.1,0.8,1.0,0.6,1.9,2.5,2.8,0.7,0.1,1.8,2.4
AGU,J. Rodriguez,F,22,3,18.7,8.8,3.0,6.5,1.7,3.0,1.3,3.6,1.6,2.5,0.5,2.1,2.6,1.3,1.1,0.4,1.4,2.5
COR,F. Medina,G,21,4,22.6,8.8,3.0,7.5,1.9,4.0,1.1,3.5,1.7,2.6,0.7,1.0,1.7,3.2,0.6,0.2,2.5,2.0
WEL,A. Arevalo,F,11,8,22.9,8.8,3.1,10.5,1.1,3.5,2.0,6.9,0.6,1.0,0.3,4.8,5.1,2.1,1.1,0.0,2.5,3.0
MAL,D. Davis,G,6,6,27.5,8.8,3.3,9.3,2.2,5.2,1.2,4.2,1.0,2.2,1.2,2.2,3.3,2.8,1.0,0.0,2.3,2.0
UUN,A. Moller,F,18,2,17.7,8.7,3.2,6.8,2.4,3.9,0.8,2.9,1.4,3.2,1.3,2.9,4.2,1.1,0.9,0.1,0.9,3.1
UUN,M. Sarni,G,22,22,27.8,8.6,3.0,7.8,2.2,5.7,0.8,2.1,1.7,2.6,1.6,2.9,4.5,9.6,2.6,0.0,2.5,2.4
GOE,X. Couste,F,16,2,19.5,8.6,2.8,6.7,1.2,2.2,1.6,4.4,1.4,2.1,0.2,1.5,1.7,0.9,0.2,0.2,1.1,3.4
WEL,J. Ortiz,G,2,0,19.7,8.5,3.0,5.0,1.5,2.5,1.5,2.5,1.0,2.5,0.5,2.5,3.0,1.0,0.0,0.0,0.5,2.0
WEL,J. Ortiz,G,9,6,16.4,8.4,2.7,5.7,1.8,3.0,0.9,2.7,2.2,3.2,0.8,2.2,3.0,2.0,1.1,0.0,0.8,2.4
UAT,J. Ducasse,F,22,22,27.7,8.3,3.2,7.7,2.3,3.8,0.9,3.9,1.0,1.7,1.3,5.1,6.5,1.2,0.8,1.0,1.0,3.2
MAL,S. Fernandez,G,22,16,21.7,8.3,3.1,8.3,1.5,3.6,1.6,4.7,0.5,0.7,0.6,2.5,3.1,2.8,0.9,0.0,1.4,1.5
UUN,M. Benitez,PF,20,18,19.0,8.2,3.1,6.7,2.6,4.1,0.5,2.6,1.4,2.1,2.0,2.4,4.5,0.9,0.7,0.3,0.8,2.0
GOE,S. Conceicao,C,10,10,26.4,8.2,3.1,6.8,2.4,4.8,0.7,2.0,1.3,2.0,1.6,4.5,6.1,0.7,0.9,1.4,1.6,2.9
COR,K. Higgins,G,4,3,19.6,8.2,3.2,9.5,2.2,5.8,1.0,3.8,0.8,0.8,1.5,2.5,4.0,3.8,0.0,0.0,1.8,1.0
GOE,A. Acosta,G,18,17,25.2,8.2,2.7,7.4,1.4,3.1,1.3,4.3,1.4,1.8,0.6,2.0,2.6,3.7,1.2,0.3,2.3,2.2
UAT,A. Lopez,SG,22,0,18.6,8.1,2.8,6.8,1.0,2.4,1.8,4.5,0.8,0.9,0.9,1.5,2.4,1.0,0.5,0.1,0.9,2.0
HYM,I. Xavier,F,21,17,21.9,7.9,2.8,6.7,2.0,3.9,0.8,2.8,1.6,2.3,1.6,2.7,4.2,1.9,0.8,0.2,1.3,3.2
UUN,B. Curadossi,PG,22,0,18.4,7.8,3.0,6.6,1.9,3.5,1.1,3.1,0.8,1.2,1.2,2.3,3.5,2.0,1.1,0.2,1.7,2.1
AGU,F. Pereiras,PG,22,19,22.6,7.7,2.7,6.2,1.5,2.5,1.2,3.8,1.0,1.4,1.0,1.5,2.5,1.5,0.7,0.0,0.7,2.5
DSC,F. Soto,F,18,12,25.5,7.7,3.0,6.9,1.7,2.9,1.3,4.0,0.3,0.7,0.6,3.0,3.6,1.5,0.8,0.3,0.7,2.9
CNF,A. Mendez,G,22,2,16.7,7.5,2.6,5.4,0.9,1.6,1.7,3.8,0.6,0.9,0.6,1.7,2.4,2.2,0.7,0.0,0.9,2.3
CNF,G. Espindola,F,22,15,22.0,7.5,2.6,6.8,1.9,4.8,0.7,2.0,1.7,2.7,1.8,3.0,4.8,1.5,1.1,0.1,0.9,1.7
COR,E. Gonzalez,F,22,3,22.2,7.4,2.7,7.0,1.5,3.0,1.2,3.9,0.8,1.0,1.0,2.8,3.7,1.8,0.5,0.0,1.5,3.3
HYM,S. Zanotta,G,21,19,26.3,7.3,2.5,7.3,1.2,2.6,1.3,4.7,1.0,1.2,0.3,2.6,2.9,5.6,0.8,0.1,2.5,2.6
GOE,F. Verrone,PF,19,1,19.6,7.3,2.3,5.6,0.4,0.9,1.8,4.6,0.9,1.0,0.6,3.3,3.9,1.4,0.9,0.4,1.2,2.2
COR,T. Leites,F,22,12,23.2,7.3,2.9,5.5,2.8,4.9,0.0,0.6,1.5,2.1,1.1,1.8,2.9,1.1,0.3,0.2,0.6,1.5
AGU,E. Mockevicius,C,7,6,18.1,7.1,2.7,5.1,2.7,4.7,0.0,0.4,1.7,2.6,3.1,5.1,8.3,0.1,0.9,0.9,0.4,2.4
MAL,M. Romero,G,22,5,22.3,7.1,2.2,5.9,0.7,1.8,1.5,4.1,1.3,1.7,1.0,2.0,3.0,2.7,0.8,0.0,1.8,2.9
BIG,M. Espinosa,G,21,21,21.0,7.0,2.6,5.6,1.9,3.0,0.7,2.7,1.0,1.3,0.9,1.8,2.7,2.7,1.4,0.0,1.1,2.9
DSC,E. Ewing,,4,4,15.5,7.0,3.0,8.0,2.5,6.0,0.5,2.0,0.5,1.2,1.0,3.5,4.5,1.0,0.0,0.0,1.2,1.5
WEL,A. Zaporta,C,1,0,22.8,7.0,2.0,9.0,2.0,8.0,0.0,1.0,3.0,5.0,1.0,11.0,12.0,1.0,0.0,2.0,1.0,3.0
DSC,M. Zubiaurre,G,22,13,18.6,6.9,2.7,5.7,2.2,3.8,0.5,1.9,0.9,1.2,0.9,2.0,2.9,2.0,0.4,0.3,1.0,2.2
HYM,M. Mayora,G,21,2,22.1,6.6,2.2,5.3,1.8,4.0,0.4,1.3,1.8,2.4,0.8,2.0,2.8,2.6,1.4,0.0,0.8,1.8
DSC,M. Bianchi,PF,22,5,19.4,6.6,2.3,3.7,2.2,3.5,0.0,0.2,2.0,2.6,1.4,2.0,3.4,1.0,0.6,0.5,1.0,2.0
CNF,B. Barrera,F,22,0,15.2,6.5,2.3,5.8,1.4,2.7,0.9,3.1,1.0,1.4,0.5,1.9,2.4,0.9,0.4,0.1,1.1,1.5
CAP,M. Rojas,PF,21,8,20.8,6.2,2.5,4.8,2.2,4.2,0.2,0.6,1.0,1.9,1.6,4.3,5.9,2.1,0.5,0.1,1.7,2.4
UAT,G. Souza,F,13,4,24.7,6.2,2.2,5.3,0.9,1.5,1.3,3.8,0.5,0.8,0.6,1.9,2.5,1.2,0.5,0.2,0.6,2.5
AGU,J. Osimani,SG,9,1,19.3,6.0,2.2,6.2,1.2,2.8,1.0,3.4,0.6,0.8,0.4,0.8,1.2,0.4,0.4,0.1,0.4,2.0
GOE,A. Rand,PF,3,3,18.8,5.7,2.3,5.3,2.0,3.0,0.3,2.3,0.7,2.0,0.3,5.0,5.3,0.7,0.0,1.0,1.0,2.0
BIG,T. Rodriguez,G,22,1,12.7,5.5,2.0,4.5,1.3,2.4,0.7,2.1,0.7,1.0,0.2,1.1,1.3,1.3,0.5,0.0,1.2,1.5
CNF,M. Cabot,G,19,2,15.9,5.5,2.0,5.2,1.2,2.3,0.8,2.9,0.7,0.9,0.4,1.1,1.4,0.9,0.6,0.0,0.5,2.0
WEL,R. Previatti,PF,21,8,15.1,5.3,2.1,3.8,1.6,2.9,0.5,0.9,0.6,1.1,0.9,1.8,2.7,0.8,0.4,0.3,0.7,3.0
COR,P. Rusch,G,22,22,23.2,5.3,1.6,4.1,0.6,1.3,1.0,2.8,1.0,1.3,0.5,2.6,3.1,3.6,1.1,0.0,2.3,3.2
